Start Time,Start Date,Subject
06:00,2/9/2014,Langtur
06:00,1/27/2014,Eftermiddagstur
06:00,1/28/2014,8*1km
06:00,1/29/2014,Rolig jog og styrke
06:00,2/10/2014,Easy jog/cross and core
06:00,1/29/2014,Marselis bakker
06:00,2/10/2014,long jog path
06:00,1/30/2014,Jog og core
06:00,2/11/2014,Interval 4*2.2km
06:00,1/30/2014,AGF intervaller
06:00,2/11/2014,Easy crosstrainer
06:00,1/31/2014,Tur med bakker i marselis
06:00,2/12/2014,Easy jog and core
06:00,2/1/2014,AGF intervaller
06:00,2/13/2014,Easy jog
06:00,2/13/2014,(Repetitions)
06:00,2/2/2014,Rolig tur
06:00,2/14/2014,Jog and bath
06:00,2/14/2014,To Copenhagen
06:00,2/15/2014,Tempo run
06:00,2/16/2014,Long Run
06:00,2/3/2014,Rolig Jog
06:00,2/3/2014,Core og løb
06:00,2/4/2014,Rolig jog
06:00,2/4/2014,1km på Bananen
06:00,2/5/2014,loeb Quick Core
06:00,2/6/2014,Rolig jog
06:00,2/6/2014,AGF training
06:00,2/7/2014,Langtur i Marselis
06:00,2/8/2014,AGF træning
